ctrlcoarse ,fVCO_AVG
187.0,6.13061787459E9
188.0,6.18436686669E9
189.0,6.23774010357E9
190.0,6.29091061358E9
191.0,6.34381800993E9
192.0,5.74699038384E9
193.0,5.80265163311E9
194.0,5.85799849059E9
195.0,5.91310304943E9
196.0,5.96788585861E9
197.0,6.02241771218E9
198.0,6.07664809041E9
199.0,6.13061787447E9
200.0,6.18440061528E9
201.0,6.23774010345E9
202.0,6.29091061346E9
203.0,6.34381800981E9
204.0,6.39642963726E9
205.0,6.44878315414E9
206.0,6.50090954792E9
207.0,6.55275330067E9
208.0,5.96788585849E9
209.0,6.02241771205E9
210.0,6.07664809029E9
211.0,6.13061787435E9
212.0,6.18436686641E9
213.0,6.23774010333E9
214.0,6.29091061334E9
215.0,6.34381800969E9
216.0,6.39642963714E9
217.0,6.44878315402E9
218.0,6.50090954780E9
219.0,6.55275330055E9
220.0,6.60434328160E9
221.0,6.65567373866E9
222.0,6.70677302648E9
223.0,6.75759171661E9
224.0,6.18436686627E9
225.0,6.23774010321E9
226.0,6.29091061322E9
227.0,6.34381800957E9
228.0,6.39642963703E9
229.0,6.44878315391E9
230.0,6.50090954768E9
231.0,6.55275330043E9
232.0,6.60434328148E9
233.0,6.65567373854E9
234.0,6.70677302637E9
235.0,6.75759171649E9
236.0,6.80817820143E9
237.0,6.85853915162E9
238.0,6.90863075588E9
239.0,6.95847961197E9
240.0,6.39642963691E9
241.0,6.44878315379E9
242.0,6.50090954755E9
243.0,6.55275330031E9
244.0,6.60434328135E9
245.0,6.65567373840E9
246.0,6.70677302625E9
247.0,6.75759171637E9
248.0,6.80817820131E9
249.0,6.85853915151E9
250.0,6.90863075576E9
251.0,6.95847961186E9
252.0,7.00816762965E9
253.0,7.05747639423E9
254.0,7.10663331134E9
255.0,7.15552037270E9
